wall_time,event_type,old_section_id,new_section_id,section_display_no,section_name,section_label_ko,section_type,profile_key,section_role,section_note,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms,cmd_seq,ack,status,rtt_ms,seq,t_ms,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count
2026-07-10T04:26:08.266,NEXT_SECTION,0,1,2,long_straight,긴 직진 구간,STRAIGHT,STRAIGHT,NORMAL,가장 높은 속도를 시도할 수 있는 긴 직진 구간.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,1,1,OK,18,166,3846,920,2817,-683,33,566,1000,1,0,7
2026-07-10T04:26:14.533,NEXT_SECTION,1,2,3,short_s_1,짧은 S자,NARROW_S,NARROW_S,NORMAL,길이가 짧으므로 보수적으로 좁은 S자 profile 적용.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,2,1,OK,43,446,10085,1000,3488,-12,3,995,1000,1,0,11
2026-07-10T04:26:18.567,NEXT_SECTION,2,3,4,short_straight_1,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,직전 S자 이후 자세 안정 확인.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,3,1,OK,51,619,14103,760,3513,13,-32,758,762,1,0,22
2026-07-10T04:26:20.181,NEXT_SECTION,3,4,5,wide_s_1,넓은 S자,WIDE_S,WIDE_S,NORMAL,직진보다 감속하고 진동 억제.,넓은 S자,920,810,670,500,0.53,0.24,1050,True,-120,-260,1350,2350,900,1600,280,240,4,1,OK,14,695,15757,1000,3604,104,-50,1000,958,1,0,27
2026-07-10T04:26:27.615,NEXT_SECTION,4,5,6,narrow_s_1,좁은 S자,NARROW_S,NARROW_S,NORMAL,완주 안정성 우선.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,5,1,OK,47,1021,23168,920,2263,-1237,-318,189,1000,1,0,34
2026-07-10T04:26:39.188,NEXT_SECTION,5,6,7,hairpin_approach,헤어핀 진입 준비구간,HAIRPIN_U,HAIRPIN_U,HAIRPIN_APPROACH,좁은 S자 직후 헤어핀 전 짧은 공간. 헤어핀 진입 전에 미리 감속하기 위한 구간.,헤어핀,620,560,500,430,0.62,0.34,1200,True,-300,-460,1000,1900,650,1250,320,320,6,1,OK,39,1525,34747,760,2865,-635,18,404,1000,1,0,50
2026-07-10T04:26:40.123,NEXT_SECTION,6,7,8,hairpin_u_1,헤어핀,HAIRPIN_U,HAIRPIN_U,NORMAL,큰 감속과 강한 조향 필요.,헤어핀,620,560,500,430,0.62,0.34,1200,True,-300,-460,1000,1900,650,1250,320,320,7,1,OK,138,1559,35550,620,3223,-277,67,472,768,1,0,52
2026-07-10T04:26:41.821,NEXT_SECTION,7,8,9,middle_straight,중간 직진구간,STRAIGHT,STRAIGHT,NORMAL,헤어핀 탈출 후 자세가 안정되면 가속.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,8,1,OK,47,1637,37371,620,3518,18,-88,602,638,1,0,60
2026-07-10T04:26:46.136,NEXT_SECTION,8,9,10,wide_u_1,완만한 U턴,WIDE_U,WIDE_U,NORMAL,진입 감속 필요.,완만한 U턴,800,700,600,480,0.55,0.27,1100,True,-180,-320,1250,2250,850,1500,290,260,9,1,OK,45,1830,41693,1000,3499,-1,-4,999,1000,1,0,66
2026-07-10T04:26:47.627,NEXT_SECTION,9,10,11,short_straight_2,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,다음 좁은 S자 진입 전 과속 주의.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,10,1,OK,38,1894,43194,800,3503,3,11,804,796,1,0,67
2026-07-10T04:26:51.435,NEXT_SECTION,10,11,12,half_narrow_s,좁은 S자 절반,NARROW_S,NARROW_S,NORMAL,짧지만 라인 이탈 위험이 있음.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,11,1,OK,50,2059,46961,1000,3578,78,-50,1000,971,1,0,73
2026-07-10T04:26:53.349,NEXT_SECTION,11,12,13,finish_short_straight,Finish 전 짧은 직진,STRAIGHT,STRAIGHT,FINISH_APPROACH,Finish까지 짧은 직진 거리.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,12,1,OK,45,2144,48894,760,3210,-290,-57,578,942,1,0,75
